ingredient,occurrence_count
carbamazepine,189
hydroxychloroquine,188
famotidine,188
triamcinolone,187
pyrazinamide,187
sacubitril,187
teicoplanin,187
myo-inositol,186
arteether,185
mecobalamin,183
codeine,181
sulfamethoxazole,181
ivabradine,180
clomiphene,179
hydroxypropylmethylcellulose,178
trimethoprim,176
solifenacin,175
fluticasone furoate,175
thiamine,175
benzoyl peroxide,175
orlistat,174
brivaracetam,173
dosulepin,172
imipramine,172
cilostazol,172
taurine,170
clidinium,170
docetaxel,170
clozapine,170
silymarin,169
cefdinir,167
misoprostol,166
secnidazole,165
brimonidine,165
melatonin,164
magnesium hydroxide,164
glipizide,163
polymyxin b,162
zinc sulfate,162
levo-carnitine,160
propylene glycol,160
phenylephrine hydrochloride,159
pramipexole,156
vitamin c,155
furosemide,155
amoxycillin,154
triamcinolone acetonide,152
memantine,151
salmeterol,151
vancomycin,151
iron,148
trimetazidine,147
zinc oxide,147
heparin,147
quinine,145
ticagrelor,145
gemcitabine,145
paclitaxel,145
mebeverine,144
phenytoin,144
divalproex sodium,144
tolnaftate,143
voriconazole,143
halobetasol,141
mifepristone,141
granisetron,141
carboxymethylcellulose sodium,141
miconazole nitrate,141
east african,139
l-methyl folate calcium,139
prochlorperazine,137
oxymetazoline,137
cefaclor,136
estradiol,135
fluvoxamine,134
prucalopride,134
benidipine,133
amorolfine,133
human chorionic gonadotropin,133
alpha ketoanalogue,132
clioquinol,131
tigecycline,131
temozolomide,130
dimenhydrinate,130
nitazoxanide,129
loperamide,129
chloroquine,128
lacosamide,127
prazosin,127
glutathione,125
glycerin,125
bromfenac,124
fatty acid,122
chlorpromazine,121
azilsartan medoxomil,121
ranolazine,121
acarbose,121
recombinant human erythropoietin alfa,120
favipiravir,120
beclomethasone,120
alfuzosin,119
valacyclovir,119
chlorbutol,118
benzocaine,118
lithium carbonate,118
azelastine,118
zinc sulphate monohydrate,117
chromium picolinate,117
choline salicylate,117
travoprost,117
lactobacillus acidophilus,116
minocycline,116
levamisole,116
mycophenolate mofetil,115
selenium,114
nitrazepam,114
rofecoxib,114
flurbiprofen,112
potassium citrate,111
medroxyprogesterone acetate,110
citalopram,110
s-amlodipine,109
calcium dobesilate,108
simvastatin,107
dextrose,107
ipratropium,106
mesalazine,105
eberconazole,105
potassium chloride,105
docosahexanoic acid,104
atropine,104
ambroxol hydrochloride,104
capsaicin,103
aztreonam,102
diclofenac potassium,102
paradichlorobenzene,101
metoprolol tartrate,101
ferric carboxymaltose,101
leflunomide,101
lamivudine,101
mycophenolate sodium,100
turpentine oil,99
metoclopramide,99
clomipramine,99
carboplatin,99
human insulin,98
l-arginine,98
azelaic acid,98
meloxicam,98
ketorolac tromethamine,98
lycopene,97
beclomethasone dipropionate,97
ciclosporin,96
allopurinol,96
etofylline,96
saccharomyces boulardii,95
fosfomycin,95
apixaban,95
tenofovir disoproxil fumarate,95
triprolidine,94
calcium citrate,94
lindane,93
oxaliplatin,93
labetalol,92
dabigatran etexilate,92
tropicamide,92
lactitol,90
urofollitropin,90
menotrophin,89
pemetrexed,89
sultamicillin tosilate,88
indomethacin,88
dehydroepiandrosterone,87
insulin isophane,86
glycopyrrolate,86
furazolidone,86
vitamin e,86
cabergoline,86
celecoxib,86
metaxalone,85
dienogest,85
chondroitin,85
bisoprolol fumarate,85
tetracycline,84
griseofulvin,84
levonorgestrel,84
netilmicin,84
anastrozole,83
ropinirole,83
magnesium trisilicate,82
biotin,82
azathioprine,82
