Flunarizine		False	469
Ampicillin	ampicillin	True	464
Alpha Lipoic Acid		False	460
Tretinoin	tretinoin	True	456
Linagliptin	linagliptin	True	454
Minoxidil	minoxidil	True	447
Cefalexin		False	447
Ceftazidime	ceftazidime	True	431
Lornoxicam		False	431
Dicloxacillin	dicloxacillin	True	424
Sertraline	sertraline	True	423
Gatifloxacin	gatifloxacin	True	416
Fluoxetine	fluoxetine	True	414
Thyroxine		False	407
Iron Sucrose	iron sucrose	True	405
Ethamsylate		False	404
Naproxen	naproxen	True	401
Bilastine		False	396
Alpha-beta Arteether		False	396
Piroxicam	piroxicam	True	394
Doxofylline		False	393
Silodosin	silodosin	True	388
Sodium Picosulfate		False	387
Hydroquinone		False	386
Sodium Citrate		False	384
Sodium Chloride		False	381
Tobramycin	tobramycin	True	378
Empagliflozin	empagliflozin	True	378
Permethrin		False	377
Lumefantrine	lumefantrine	True	377
Aluminium Hydroxide		False	376
Tacrolimus	tacrolimus	True	373
Amisulpride	amisulpride	True	373
Betamethasone	betamethasone	True	371
Nicotinamide	nicotinamide	True	367
Gentamicin	gentamicin	True	365
Fluticasone Propionate	fluticasone	True	357
Chloramphenicol	chloramphenicol	True	355
Lansoprazole	lansoprazole	True	354
Artemether	artemether	True	349
Flupenthixol		False	346
Cefadroxil	cefadroxil	True	346
Fusidic Acid		False	339
Tadalafil	tadalafil	True	338
Salbutamol	salbutamol	True	338
Disodium Hydrogen Citrate		False	332
Ammonium Chloride		False	331
Lactulose	lactulose	True	331
Milk Of Magnesia		False	331
Glucosamine	glucosamine	True	327
Calcium Carbonate		False	321
Faropenem		False	320
Magnesium		False	319
Tolperisone		False	316
Cinnarizine		False	307
Calcitriol	calcitriol	True	304
Chlorhexidine Gluconate	chlorhexidine	True	303
Norethisterone	norethisterone	True	302
Diclofenac Diethylamine		False	296
Acyclovir	acyclovir	True	295
Formoterol	formoterol	True	294
Sodium Bicarbonate		False	292
Cefepime	cefepime	True	289
Hydroxyprogesterone		False	287
Etodolac	etodolac	True	285
Budesonide	budesonide	True	282
Glucosamine Sulfate Potassium Chloride	glucosamine	True	282
Finasteride	finasteride	True	281
Nebivolol	nebivolol	True	280
Bisoprolol	bisoprolol	True	279
Mupirocin	mupirocin	True	279
Oxcarbazepine	oxcarbazepine	True	277
Isoxsuprine	isoxsuprine	True	274
Prednisolone	prednisolone	True	271
Shinto Organics		False	270
Sodium Hyaluronate		False	266
Nitroglycerin	nitroglycerin	True	264
Zinc		False	263
Rifampicin		False	263
Zinc Pyrithione		False	259
Enoxaparin	enoxaparin	True	257
Sorbitol	sorbitol	True	253
Xylometazoline	xylometazoline	True	252
Isoniazid	isoniazid	True	250
Trifluoperazine	trifluoperazine	True	247
Aripiprazole	aripiprazole	True	246
Sparfloxacin	sparfloxacin	True	242
Desloratadine	desloratadine	True	241
L-ornithine L-aspartate		False	238
Melitracen		False	234
Hydrocortisone	hydrocortisone	True	230
Timolol	timolol	True	229
Loteprednol Etabonate	loteprednol etabonate	True	225
Ezetimibe	ezetimibe	True	223
Racecadotril		False	221
Tapentadol	tapentadol	True	220
Ethinyl Estradiol		False	220
Clarithromycin	clarithromycin	True	219
Mirtazapine	mirtazapine	True	218
Tizanidine	tizanidine	True	217
Pancreatin		False	217
Haloperidol	haloperidol	True	214
Sodium Valproate		False	214
Liquid Paraffin		False	213
Spironolactone	spironolactone	True	211
Cetrimide		False	210
Olopatadine	olopatadine	True	209
Valsartan	valsartan	True	209
Cefotaxime	cefotaxime	True	208
Adapalene	adapalene	True	206
D-panthenol		False	203
L-methyl Folate		False	202
Tofacitinib	tofacitinib	True	201
Phenylpropanolamine	phenylpropanolamine	True	199
Lorazepam	lorazepam	True	198
Promethazine	promethazine	True	197
Pseudoephedrine	pseudoephedrine	True	193
Glibenclamide	glyburide	True	191
Dimethicone		False	191
Zolpidem	zolpidem	True	190
Phosphate		False	189
Cilastatin		False	189
Imipenem	imipenem	True	188
Nitrofurantoin	nitrofurantoin	True	187
Methotrexate	methotrexate	True	185
Desvenlafaxine	desvenlafaxine	True	184
Arteether		False	184
Loratadine	loratadine	True	183
Polyethylene Glycol	polyethylene glycol	True	183
Dydrogesterone		False	182
Letrozole	letrozole	True	180
Flavoxate	flavoxate	True	179
Hydroxypropylmethylcellulose		False	177
Lactic Acid Bacillus		False	177
Ferrous Ascorbate		False	177
Triamcinolone	triamcinolone	True	175
Dapoxetine		False	171
Rivaroxaban	rivaroxaban	True	171
Nicorandil		False	171
Lamotrigine	lamotrigine	True	170
Baclofen	baclofen	True	170
Myo-inositol		False	169
Flupirtine		False	169
