Cefotaxime	208
Adapalene	206
D-panthenol	203
L-methyl Folate	202
Tofacitinib	201
Phenylpropanolamine	199
Lorazepam	198
Promethazine	197
Pseudoephedrine	193
Glibenclamide	191
Dimethicone	191
Zolpidem	190
Phosphate	189
Cilastatin	189
Imipenem	188
Nitrofurantoin	187
Methotrexate	185
Desvenlafaxine	184
Arteether	184
Loratadine	183
Polyethylene Glycol	183
Dydrogesterone	182
Letrozole	180
Flavoxate	179
Hydroxypropylmethylcellulose	177
Lactic Acid Bacillus	177
Ferrous Ascorbate	177
Triamcinolone	175
Dapoxetine	171
Rivaroxaban	171
Nicorandil	171
Lamotrigine	170
Baclofen	170
Myo-inositol	169
Flupirtine	169
Pyridoxine Hydrochloride	169
Sevelamer	167
Repaglinide	167
Erythromycin	167
Mirabegron	167
Dosulepin	167
Valproic Acid	167
Pyrazinamide	166
Sacubitril	164
Isosorbide Mononitrate	163
Codeine	162
Benfotiamine	159
Teicoplanin	158
Clobazam	158
Levo-carnitine	158
Nepafenac	157
Taurine	157
Fluocinolone Acetonide	156
Clidinium	154
Topiramate	154
Clomiphene	154
Donepezil	154
Imipramine	153
Enalapril	153
Propylene Glycol	153
Ivabradine	152
Ebastine	148
Theophylline	147
Solifenacin	146
Diazepam	146
Fluorometholone	146
Lisinopril	146
Fluticasone Furoate	144
Melatonin	144
Ethambutol	143
Thiamine	143
East African	139
L-methyl Folate Calcium	139
Quinine	139
Colistimethate Sodium	137
Halobetasol	136
Docetaxel	136
Secnidazole	135
Orlistat	134
Silymarin	134
Polymyxin B	134
Diltiazem	133
Iron	132
Alpha Ketoanalogue	132
Trimetazidine	129
Brivaracetam	126
Zinc Sulfate	126
Benzoyl Peroxide	125
Nifedipine	125
Brimonidine	125
Clioquinol	124
Mebeverine	123
Fatty Acid	122
Sertaconazole	122
Tolnaftate	122
Mifepristone	121
Sulfamethoxazole	120
Recombinant Human Erythropoietin Alfa	120
Fluvoxamine	120
Phenytoin	119
Misoprostol	118
Memantine	117
Hydroxychloroquine	117
Zinc Sulphate Monohydrate	116
Trimethoprim	116
Chlorbutol	115
Estradiol	115
Calcium	115
Famotidine	115
Prochlorperazine	115
Benzocaine	114
Zinc Oxide	114
Heparin	114
Nitazoxanide	114
Temozolomide	113
Chlorpromazine	112
Ticagrelor	112
Vitamin C	112
Gemcitabine	111
Chloroquine	111
Lactobacillus Acidophilus	110
Lacosamide	109
Chromium Picolinate	109
Pramipexole	108
Triamcinolone Acetonide	108
Azilsartan Medoxomil	108
Tigecycline	107
Calcium Dobesilate	107
Salmeterol	106
Benidipine	105
Amorolfine	105
Prucalopride	105
Docosahexanoic Acid	104
Mesalazine	104
Clozapine	104
Selenium	103
Ipratropium	103
Loperamide	101
Carbamazepine	101
Ranolazine	101
Minocycline	100
Paradichlorobenzene	99
Paclitaxel	99
Human Insulin	98
Nitrazepam	98
Glutathione	98
Human Chorionic Gonadotropin	97
Turpentine Oil	97
Rofecoxib	97
Lithium Carbonate	96
Capsaicin	95
S-amlodipine	94
Prazosin	94
Ciclosporin	93
Lindane	92
Aztreonam	92
Metoprolol Tartrate	92
Lycopene	92
Medroxyprogesterone Acetate	91
Choline Salicylate	90
Lactitol	89
Favipiravir	89
Granisetron	89
Menotrophin	88
Sultamicillin Tosilate	88
Ferric Carboxymaltose	87
Alfuzosin	87
Azelastine	87
L-arginine	86
Eberconazole	85
Glipizide	84
Triprolidine	84
Saccharomyces Boulardii	83
Mycophenolate Sodium	83
Glycerin	83
Atropine	83
Labetalol	83
Potassium Chloride	82
Dehydroepiandrosterone	82
Acarbose	82
Furosemide	81
Bromfenac	80
